"resol_1" "resol_2" "resol_3" "resol_4" "resol_5" "resol_6" "resol_7" "resol_8"
"PCs_40" 0 0 0 1 1 2 2 2
"PCs_41" 0 0 0 2 2 3 2 2
"PCs_42" 1 1 0 2 1 2 2 2
"PCs_43" 0 1 1 2 3 2 2 3
"PCs_44" 0 0 0 1 2 2 2 2
"PCs_45" 1 0 0 2 2 3 2 3
"PCs_46" 0 0 0 1 1 2 3 3
"PCs_47" 0 0 0 2 2 2 3 4
"PCs_48" 0 0 0 1 2 2 2 3
"PCs_49" 0 0 2 2 3 3 5 4
"PCs_50" 0 0 0 1 3 4 3 3
"PCs_51" 0 0 1 2 1 2 3 3
"PCs_52" 1 0 1 1 2 3 2 5
"PCs_53" 0 0 0 0 1 2 2 3
"PCs_54" 0 0 0 0 1 1 3 3
"PCs_55" 0 0 0 0 1 2 2 2
"PCs_56" 0 0 0 0 2 1 2 2
"PCs_57" 0 0 0 0 1 1 2 2
"PCs_58" 1 1 0 0 1 2 2 3
"PCs_59" 0 1 0 0 1 1 2 2
"PCs_60" 0 1 0 1 1 1 2 2
"PCs_61" 0 0 0 1 1 2 2 2
"PCs_62" 0 0 0 2 2 2 2 2
"PCs_63" 0 0 0 1 1 2 2 2
"PCs_64" 0 0 0 0 2 2 2 2
"PCs_65" 0 0 0 0 1 1 2 2
"PCs_66" 0 0 0 2 2 1 2 2
"PCs_67" 0 0 0 0 1 2 2 2
"PCs_68" 0 0 0 0 1 1 3 1
"PCs_69" 0 0 0 0 3 2 2 2
"PCs_70" 0 0 0 0 2 2 2 2
"PCs_71" 0 0 0 0 2 2 2 3
"PCs_72" 0 0 0 1 1 1 2 3
"PCs_73" 0 0 1 1 1 2 2 3
"PCs_74" 0 0 0 1 2 2 3 3
"PCs_75" 0 0 0 1 2 2 3 2
"PCs_76" 0 0 0 0 2 1 1 2
"PCs_77" 0 0 0 0 1 1 1 2
"PCs_78" 0 0 0 1 2 1 1 3
"PCs_79" 0 0 0 1 1 1 1 3
"PCs_80" 0 0 0 1 1 2 1 1
"PCs_81" 0 0 0 1 1 1 1 2
"PCs_82" 0 0 1 1 1 3 3 3
"PCs_83" 0 0 0 1 1 1 2 1
"PCs_84" 0 0 0 1 2 2 3 3
"PCs_85" 0 0 0 1 2 1 2 3
"PCs_86" 0 0 0 1 1 3 2 3
"PCs_87" 0 0 0 1 1 2 2 3
"PCs_88" 0 0 1 1 1 2 2 3
"PCs_89" 1 0 0 0 2 2 3 3
"PCs_90" 0 0 0 1 1 2 3 3
"PCs_91" 0 0 0 1 1 3 2 1
"PCs_92" 0 0 0 0 2 4 3 2
"PCs_93" 0 0 0 1 1 2 2 1
"PCs_94" 0 0 0 1 1 3 3 2
"PCs_95" 0 0 1 0 1 1 3 3
"PCs_96" 0 0 0 0 1 1 2 2
"PCs_97" 1 0 1 0 1 2 3 3
"PCs_98" 0 0 1 0 0 1 3 4
"PCs_99" 0 0 0 1 0 2 4 4
"PCs_100" 0 0 1 0 2 3 3 4
