"resol_1" "resol_2" "resol_3" "resol_4" "resol_5" "resol_6" "resol_7" "resol_8"
"PCs_40" 15 16 16 20 20 20 22 24
"PCs_41" 15 16 18 20 22 24 26 28
"PCs_42" 15 15 18 23 20 23 25 25
"PCs_43" 15 17 19 19 21 21 24 27
"PCs_44" 16 18 20 23 25 26 25 25
"PCs_45" 17 19 19 23 23 25 25 26
"PCs_46" 17 20 21 24 24 23 23 25
"PCs_47" 18 18 20 24 23 25 25 27
"PCs_48" 18 20 20 21 23 22 23 26
"PCs_49" 19 19 23 22 26 24 28 26
"PCs_50" 18 20 21 22 25 26 25 29
"PCs_51" 20 19 25 25 24 27 31 31
"PCs_52" 23 22 27 24 26 28 30 33
"PCs_53" 20 20 24 24 28 29 30 29
"PCs_54" 17 21 22 22 27 27 30 32
"PCs_55" 18 22 23 22 27 28 29 28
"PCs_56" 18 23 25 23 27 27 26 29
"PCs_57" 19 24 27 25 29 30 30 29
"PCs_58" 20 25 26 26 30 31 31 33
"PCs_59" 18 25 27 28 31 30 31 33
"PCs_60" 19 26 26 28 29 29 34 33
"PCs_61" 22 26 29 29 30 31 32 34
"PCs_62" 21 27 29 30 32 31 32 36
"PCs_63" 20 26 29 28 30 32 34 34
"PCs_64" 24 24 28 27 30 34 33 35
"PCs_65" 24 25 28 27 32 34 35 35
"PCs_66" 24 28 29 28 34 32 35 36
"PCs_67" 22 26 27 29 32 34 37 34
"PCs_68" 24 25 28 29 32 35 39 34
"PCs_69" 25 26 30 30 36 37 37 37
"PCs_70" 25 26 32 31 34 36 35 35
"PCs_71" 25 26 31 32 33 36 36 38
"PCs_72" 24 24 30 33 32 36 36 36
"PCs_73" 24 27 31 29 32 34 35 37
"PCs_74" 23 23 30 29 31 32 34 35
"PCs_75" 23 27 30 30 33 35 36 35
"PCs_76" 22 24 29 27 33 35 34 34
"PCs_77" 22 26 30 31 33 34 36 37
"PCs_78" 25 29 27 29 34 34 32 37
"PCs_79" 26 27 31 30 35 35 35 38
"PCs_80" 26 26 29 31 35 36 37 37
"PCs_81" 26 28 28 30 35 35 36 34
"PCs_82" 26 29 34 34 35 39 36 38
"PCs_83" 24 30 31 33 34 36 37 37
"PCs_84" 24 26 32 33 35 35 38 38
"PCs_85" 25 28 31 34 36 35 38 41
"PCs_86" 24 25 32 33 34 37 36 41
"PCs_87" 25 29 31 33 33 34 36 40
"PCs_88" 25 29 34 33 32 34 35 37
"PCs_89" 27 30 31 31 33 34 38 37
"PCs_90" 29 30 31 35 33 35 37 38
"PCs_91" 26 29 32 34 33 34 34 33
"PCs_92" 29 31 31 33 35 35 35 35
"PCs_93" 27 27 31 33 32 35 33 34
"PCs_94" 25 28 30 32 34 33 34 35
"PCs_95" 28 29 33 31 33 34 35 36
"PCs_96" 27 30 30 33 34 34 36 39
"PCs_97" 28 28 33 33 33 34 35 37
"PCs_98" 26 28 34 32 33 34 37 40
"PCs_99" 26 31 32 32 30 34 36 38
"PCs_100" 24 29 31 32 33 33 34 34
