"resol_1" "resol_2" "resol_3" "resol_4" "resol_5" "resol_6" "resol_7" "resol_8"
"PCs_40" 39 43 47 56 64 70 74 79
"PCs_41" 39 44 50 55 65 69 75 80
"PCs_42" 37 43 49 55 65 69 74 79
"PCs_43" 38 45 52 58 66 68 76 80
"PCs_44" 38 45 51 56 62 68 75 78
"PCs_45" 38 44 52 58 61 69 75 78
"PCs_46" 38 45 53 60 64 68 74 77
"PCs_47" 41 45 54 60 63 68 74 79
"PCs_48" 41 47 53 60 65 69 73 78
"PCs_49" 41 46 54 59 64 68 74 78
"PCs_50" 42 47 53 59 65 68 74 81
"PCs_51" 42 47 55 60 67 69 77 81
"PCs_52" 44 47 54 60 65 71 75 80
"PCs_53" 43 50 53 58 66 71 75 80
"PCs_54" 42 48 55 59 67 71 75 81
"PCs_55" 42 49 56 59 69 73 76 83
"PCs_56" 42 49 55 59 67 73 75 77
"PCs_57" 42 51 56 61 68 73 76 83
"PCs_58" 42 52 58 61 70 74 76 82
"PCs_59" 42 51 58 62 69 74 76 80
"PCs_60" 44 54 58 62 70 74 77 80
"PCs_61" 44 54 59 63 72 77 79 83
"PCs_62" 45 55 59 64 72 77 78 84
"PCs_63" 45 56 59 65 71 76 80 82
"PCs_64" 47 55 58 64 72 76 79 83
"PCs_65" 46 55 60 66 73 76 80 83
"PCs_66" 47 58 61 66 73 76 81 84
"PCs_67" 47 57 59 65 74 77 82 87
"PCs_68" 49 57 58 65 74 78 82 85
"PCs_69" 51 57 61 66 73 78 82 86
"PCs_70" 52 57 60 66 72 78 83 87
"PCs_71" 50 57 61 66 73 77 83 85
"PCs_72" 51 57 61 66 70 78 83 87
"PCs_73" 50 58 61 67 71 76 81 86
"PCs_74" 51 57 60 64 70 75 82 86
"PCs_75" 49 58 60 64 70 76 82 85
"PCs_76" 51 57 60 63 70 78 80 86
"PCs_77" 49 58 61 65 72 77 83 85
"PCs_78" 52 60 60 65 73 78 81 85
"PCs_79" 53 58 61 64 72 80 81 85
"PCs_80" 52 57 61 66 72 78 80 85
"PCs_81" 52 58 59 66 73 77 82 83
"PCs_82" 52 58 61 67 72 78 83 85
"PCs_83" 50 59 61 65 73 77 83 85
"PCs_84" 50 57 62 65 72 76 83 86
"PCs_85" 51 58 61 64 73 77 84 87
"PCs_86" 51 57 61 65 72 77 84 88
"PCs_87" 52 58 60 65 73 77 82 87
"PCs_88" 50 58 62 65 73 79 83 86
"PCs_89" 52 59 62 65 72 77 83 87
"PCs_90" 53 58 62 64 73 78 83 86
"PCs_91" 51 58 61 64 72 76 83 87
"PCs_92" 53 59 61 64 73 76 82 88
"PCs_93" 51 57 61 65 72 77 81 88
"PCs_94" 51 58 61 64 72 78 83 88
"PCs_95" 53 58 63 64 73 79 82 88
"PCs_96" 53 59 60 64 73 77 83 88
"PCs_97" 51 58 62 64 74 77 83 90
"PCs_98" 51 56 61 64 73 78 83 90
"PCs_99" 51 58 61 64 70 78 83 90
"PCs_100" 51 58 61 64 70 77 85 90
