,x
1,ADE:390_510
2,
3,
4,ADF:510_650
5,
6,ADF:gt_650
7,
8,ADL:390_510
9,ADL:510_650
10,ADL:gt_650
11,
12,
13,AFD:390_510
14,AFD:510_650
15,AFD:gt_650
16,AIA:510_650
17,
18,AIB:390_510
19,AIB:510_650
20,
21,AIM:390_510
22,AIM:510_650
23,AIN:390_510
24,AIY:390_510
25,AIY:510_650
26,AIY:gt_650
27,AIZ:390_510
28,
29,ALA:390_510
30,ALA:510_650
31,ALM_BDU:390_510
32,ALM_BDU:510_650
33,ALM_PLM:gt_650
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,ASEL:gt_580
53,ASER:gt_580
54,
55,ASG:510_650
56,ASG_AWA_terminal_cells_but_undifferentiated
57,
58,ASH:390_510
59,ASH:510_650
60,ASH:gt_650
61,ASI:390_510
62,ASI:510_650
63,ASJ:330_390
64,ASJ:390_510
65,ASJ:510_650
66,ASJ:gt_650
67,ASK:390_510
68,ASK:510_650
69,
70,AUA:390_510
71,AUA:510_650
72,
73,AVA:390_510
74,AVA:510_650
75,AVA:gt_650
76,
77,AVB:390_510
78,AVB:gt_650
79,AVD:390_510
80,AVD:510_650
81,
82,AVE:390_510
83,AVE:510_650
84,
85,AVG:390_510
86,AVG:510_650
87,
88,AVH:390_510
89,AVH:510_650
90,
91,AVJ:390_510
92,AVK:390_510
93,AVK:510_650
94,AVK:gt_650
95,
96,AVL:390_510
97,AVL:gt_650
98,AWA:330_390
99,AWA:390_510
100,AWA:510_650
101,AWA:gt_650
102,AWB:390_510
103,AWB:510_650
104,
105,AWC:390_510
106,AWC:510_650
107,AWC:gt_650
108,
109,
110,BAG:390_510
111,BAG:510_650
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,
152,
153,
154,CAN:330_390
155,CAN:390_510
156,CAN:510_650
157,CEP:390_510
158,CEP:510_650
159,CEPsh:390_450
160,CEPsh:450_510
161,CEPso:390_450
162,CEPso:450_510
163,CEPso:510_580
164,
165,
166,
167,
168,
169,DA:390_450
170,DA:450_510
171,DA_DB:510_580
172,DA_DB:580_650
173,DA_DB:gt_650
174,
175,DB:390_450
176,DB:450_510
177,
178,DD:390_510
179,DD:510_650
180,
181,DVA:390_510
182,DVA:510_650
183,DVA:gt_650
184,
185,DVC:390_510
186,DVC:510_650
187,
188,
189,
190,
191,
192,
193,
194,
195,
196,
197,
198,
199,
200,
201,FLP:390_510
202,
203,
204,
205,
206,
207,
208,
209,
210,
211,
212,
213,
214,
215,
216,
217,
218,
219,
220,GLR:390_450
221,GLR:450_510
222,hmc:390_450
223,hmc:450_510
224,hmc:510_580
225,
226,hmc_homolog:390_450
227,hmc_homolog:450_510
228,
229,
230,
231,
232,
233,
234,
235,
236,
237,
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
249,I5:390_510
250,I5:510_650
251,IL1:390_510
252,IL1:510_650
253,
254,IL2:390_510
255,IL2:510_650
256,
257,
258,
259,
260,
261,
262,
263,
264,
265,
266,
267,
268,
269,
270,
271,
272,
273,
274,
275,
276,
277,
278,
279,
280,
281,
282,
283,
284,
285,
286,
287,
288,
289,
290,
291,
292,
293,
294,
295,
296,
297,
298,
299,OLL:390_510
300,OLL:510_650
301,OLQ:390_510
302,OLQ:510_650
303,
304,
305,
306,
307,
308,
309,
310,
311,
312,
313,
314,PHB_and_possibly_PHA:390_510
315,PHB_and_possibly_PHA:510_650
316,
317,
318,
319,
320,
321,
322,
323,
324,
325,
326,
327,
328,
329,
330,
331,
332,
333,
334,
335,
336,
337,
338,PVP:390_510
339,PVP:510_650
340,
341,PVQ_and_possibly_PVC:390_510
342,
343,PVT:510_650
344,PVT:gt_650
345,Rectal_gland:390_580
346,Rectal_gland:580_650
347,RIA:330_390
348,RIA:390_510
349,RIA:510_650
350,RIA:gt_650
351,RIB:390_510
352,RIB:510_650
353,RIC:390_510
354,RIC:510_650
355,
356,RID:510_650
357,RIH:390_510
358,
359,RIM:390_510
360,RIM:510_650
361,RIS:390_510
362,RIS:510_650
363,RIS:gt_650
364,
365,RIV:390_510
366,RIV:510_650
367,
368,RMD:390_510
369,RMD:510_650
370,
371,RME:390_510
372,RME:510_650
373,
374,
375,
376,
377,
378,
379,
380,
381,SIA:390_510
382,SIA:510_650
383,
384,SIB:390_510
385,SMB:330_390
386,SMB:390_510
387,SMB:510_650
388,
389,SMD:390_510
390,SMD:510_650
391,
392,
393,
394,
395,
396,
397,
398,
399,URB_and_possibly_URA:390_510
400,URX:390_510
401,URX:510_650
402,URX:gt_650
403,
404,
405,
406,
407,
408,
409,
