"","Parick","Packer1","pvalue1","Packer2","pvalue2","Packer3","pvalue3","Packer4","pvalue4","Packer5","pvalue5","Packer6","pvalue6","CLUSTER_ID[rownames(resultsdata), ]$`Manual assignment to Neuron classes`"
"0_2","0_2","DA_DB:580_650",7.19830497236136e-37,"DA_DB:gt_650",7.19830497236136e-37,"AVA:gt_650",1.61366614988312e-21,"AVB:gt_650",2.35706455511563e-20,"DA_DB:510_580",2.35706455511563e-20,"RIA:gt_650",3.29350925014462e-19,"DA, DB, VA,VB, SAB, PDB?"
"1.0","1.0","ADE:390_510",1,"ADF:510_650",1,"ADF:gt_650",1,"ADL:390_510",1,"ADL:510_650",1,"ADL:gt_650",1,"not assigned"
"1.1","1.1","DA_DB:gt_650",0.0123680130016217,"ASH:gt_650",0.201534284935939,"AWA:gt_650",0.201534284935939,"BAG:510_650",0.201534284935939,"IL2:510_650",0.201534284935939,"RIA:gt_650",0.201534284935939,"URB"
"3.0","3.0","DD:510_650",4.39777697495733e-18,"DA_DB:580_650",8.41905446641615e-11,"DA_DB:gt_650",8.41905446641615e-11,"DD:390_510",7.45443382470441e-10,"DA_DB:510_580",3.59339007805093e-07,"RME:510_650",2.47377147909885e-06,"VD?"
"3.1","3.1","DD:510_650",6.32949918594934e-53,"DA_DB:gt_650",1.67587311391334e-42,"DA_DB:580_650",1.17763290058974e-39,"AVA:gt_650",8.31379865783473e-33,"AVB:gt_650",6.87297627624458e-29,"DD:390_510",6.87297627624458e-29,"[VD,DD]"
"4.0","4.0","ALM_PLM:gt_650",4.88195434756273e-08,"AIM:510_650",0.0524850613063972,"AVK:gt_650",0.0524850613063972,"RIS:gt_650",0.0524850613063972,"AFD:gt_650",0.201534284935939,"AVD:510_650",0.201534284935939,"[AVM, PVM]?"
"4.1","4.1","ALM_PLM:gt_650",6.00570450187449e-44,"ALM_BDU:510_650",6.81247324525906e-16,"AVH:510_650",7.45443382470441e-10,"AVK:gt_650",7.45443382470441e-10,"ALM_BDU:390_510",6.22099876356647e-09,"AFD:gt_650",4.88195434756273e-08,"[ALM, PLM]"
"5.0","5.0","AVB:gt_650",7.88386427627385e-15,"SIA:510_650",8.67613092484032e-14,"AVL:gt_650",8.98091222450249e-12,"DA_DB:580_650",8.98091222450249e-12,"DA_DB:gt_650",8.98091222450249e-12,"AVA:gt_650",8.41905446641615e-11,"SIB"
"5.1","5.1","SIA:510_650",6.81247324525906e-16,"DA_DB:gt_650",9.0660937848663e-13,"DA_DB:580_650",8.98091222450249e-12,"AVB:gt_650",8.41905446641615e-11,"AVL:gt_650",6.22099876356647e-09,"RIA:gt_650",6.22099876356647e-09,"SIA"
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7.0","7.0","RIV:510_650",1.05778774615951e-22,"DA_DB:gt_650",8.41905446641615e-11,"RIV:390_510",8.41905446641615e-11,"SIA:510_650",8.41905446641615e-11,"AVA:gt_650",7.45443382470441e-10,"AVK:gt_650",7.45443382470441e-10,"[SMB,SDQ]?"
"8.0.0","8.0.0","AVD:510_650",1.58776361678321e-05,"DA_DB:gt_650",0.000522400964868679,"RIM:510_650",0.000522400964868679,"AVA:gt_650",0.0123680130016217,"AVL:gt_650",0.0123680130016217,"AVE:510_650",0.0524850613063972,"AVD?"
"8.0.1","8.0.1","AVD:510_650",3.53094555406917e-30,"AVA:gt_650",6.64525930168962e-24,"AVB:gt_650",1.61366614988312e-21,"AVL:gt_650",1.61366614988312e-21,"AVK:gt_650",2.35706455511563e-20,"RIM:510_650",2.35706455511563e-20,"PVC?"
"8.1","8.1","AIY:gt_650",7.88386427627385e-15,"AVK:gt_650",8.67613092484032e-14,"DA_DB:gt_650",8.67613092484032e-14,"RID:510_650",8.67613092484032e-14,"AVB:gt_650",9.0660937848663e-13,"AVD:510_650",9.0660937848663e-13,"RID"
"8.2","8.2","PVP:510_650",1.05778774615951e-22,"PVT:gt_650",2.35706455511563e-20,"AIY:gt_650",7.88386427627385e-15,"AVK:gt_650",8.41905446641615e-11,"AIY:510_650",7.45443382470441e-10,"DVA:gt_650",6.22099876356647e-09,"PVP"
"8.3","8.3","AIY:gt_650",8.98091222450249e-12,"AVL:gt_650",7.45443382470441e-10,"RIA:gt_650",7.45443382470441e-10,"DVA:gt_650",6.22099876356647e-09,"PVT:gt_650",6.22099876356647e-09,"AVB:gt_650",4.88195434756273e-08,"cholinergic (nlp-40, ceh-16) RIF?"
"10.0.0","10.0.0","AVK:gt_650",7.88386427627385e-15,"AVL:gt_650",8.67613092484032e-14,"DVA:gt_650",8.67613092484032e-14,"PVT:gt_650",8.67613092484032e-14,"RIS:510_650",8.67613092484032e-14,"RIS:gt_650",8.67613092484032e-14,"glutamatergic (ceh-31) PVR(&PVW?)"
"10.0.1_4","10.0.1_4","AVH:510_650",4.88195434756273e-08,"AVH:390_510",0.000522400964868679,"AVD:510_650",0.00265522373364003,"ALA:510_650",0.0524850613063972,"AVD:390_510",0.0524850613063972,"AVG:510_650",0.0524850613063972,"cholinergic (nlp-19) AVH ?"
"10.0.2_3","10.0.2_3","AVH:510_650",0.000522400964868679,"AFD:gt_650",0.00265522373364003,"AIN:390_510",0.00265522373364003,"AVD:510_650",0.00265522373364003,"AVK:gt_650",0.00265522373364003,"RIA:510_650",0.00265522373364003,"glutamatergic (zig-3) BDU ?"
"10.0.5","10.0.5","AVH:510_650",0.201534284935939,"AWC:gt_650",0.694714003649603,"ADE:390_510",1,"ADF:510_650",1,"ADF:gt_650",1,"ADL:390_510",1,"not assigned"
"10.1.0","10.1.0","DVC:510_650",1.58776361678321e-05,"DVA:gt_650",0.00265522373364003,"PVP:510_650",0.00265522373364003,"AVG:510_650",0.0123680130016217,"RIS:gt_650",0.0123680130016217,"AUA:510_650",0.0524850613063972,"DVC"
"10.1.1","10.1.1","ALA:510_650",2.35706455511563e-20,"AVA:gt_650",8.41905446641615e-11,"AVG:510_650",8.41905446641615e-11,"RIM:510_650",8.41905446641615e-11,"RID:510_650",6.22099876356647e-09,"AVL:gt_650",4.88195434756273e-08,"ALA"
"10.2","10.2","AVJ:390_510",6.64525930168962e-24,"AVD:510_650",1.61366614988312e-21,"AVA:gt_650",7.88386427627385e-15,"SIA:390_510",7.88386427627385e-15,"AVA:510_650",8.67613092484032e-14,"ALA:510_650",9.0660937848663e-13,"AVJ"
"11.0_1_2","11.0_1_2","RIA:gt_650",1.05778774615951e-22,"SMD:510_650",2.35706455511563e-20,"RMD:510_650",6.81247324525906e-16,"AVB:gt_650",7.88386427627385e-15,"AIY:gt_650",8.41905446641615e-11,"RIA:510_650",8.41905446641615e-11,"[RMD, SMD]"
"11.3","11.3","RIA:gt_650",1.68727573431067e-35,"AVB:gt_650",4.00419351261534e-25,"SMB:510_650",4.00419351261534e-25,"SMD:510_650",1.05778774615951e-22,"DA_DB:gt_650",3.29350925014462e-19,"RMD:510_650",3.29350925014462e-19,"SAA"
"11.4","11.4","RIM:510_650",2.31604173080635e-26,"RIA:gt_650",8.98091222450249e-12,"AIY:gt_650",4.88195434756273e-08,"RIM:390_510",4.88195434756273e-08,"SMD:510_650",3.59339007805093e-07,"AVA:gt_650",2.47377147909885e-06,"RIM"
"12.0","12.0","AVA:gt_650",2.26015166849315e-48,"AVA:510_650",2.31604173080635e-26,"AVE:510_650",2.35706455511563e-20,"AVB:gt_650",3.29350925014462e-19,"RIA:gt_650",4.39777697495733e-18,"SMD:510_650",5.605560028329e-17,"[AVA,AVE]?"
"12.1","12.1","AIY:gt_650",8.98091222450249e-12,"AUA:510_650",8.41905446641615e-11,"RIS:gt_650",8.41905446641615e-11,"PVT:gt_650",6.22099876356647e-09,"AVA:gt_650",4.88195434756273e-08,"AIB:510_650",3.59339007805093e-07,"RIG"
"13.0","13.0","CAN:510_650",1.32844816342587e-57,"hmc:390_450",6.32949918594934e-53,"CAN:390_510",6.97226755471323e-47,"hmc_homolog:390_450",1.74592768243155e-31,"hmc_homolog:450_510",1.74592768243155e-31,"GLR:390_450",4.00419351261534e-25,"CAN"
"14.0","14.0","AVK:gt_650",4.51969618742547e-41,"AIY:gt_650",6.64525930168962e-24,"AVK:510_650",1.05778774615951e-22,"RIS:gt_650",1.61366614988312e-21,"AVL:gt_650",2.35706455511563e-20,"AVA:gt_650",3.29350925014462e-19,"AVK"
"16.0","16.0","FLP:390_510",3.29350925014462e-19,"DA_DB:580_650",5.605560028329e-17,"SIA:390_510",8.67613092484032e-14,"ALM_PLM:gt_650",9.0660937848663e-13,"DA_DB:510_580",9.0660937848663e-13,"DB:450_510",9.0660937848663e-13,"FLP/PVD"
"17.0","17.0","DD:390_510",2.15287120502628e-51,"SIA:390_510",6.97226755471323e-47,"AVH:390_510",6.00570450187449e-44,"SMB:330_390",1.67587311391334e-42,"AVD:390_510",4.51969618742547e-41,"DA:390_450",4.51969618742547e-41,"HSN L2?"
"17.1","17.1","AIY:gt_650",9.0660937848663e-13,"RIA:gt_650",9.0660937848663e-13,"RIS:gt_650",9.0660937848663e-13,"AVA:gt_650",8.98091222450249e-12,"AIM:390_510",8.41905446641615e-11,"AIA:510_650",7.45443382470441e-10,"RIH"
"19.0","19.0","AIA:510_650",0.694714003649603,"RIM:510_650",0.694714003649603,"SMD:510_650",0.694714003649603,"ADE:390_510",1,"ADF:510_650",1,"ADF:gt_650",1,"pharyngeal"
"19.1","19.1","AIA:510_650",1.58776361678321e-05,"AVL:gt_650",1.58776361678321e-05,"AVB:gt_650",9.4677064417283e-05,"AVB:390_510",0.000522400964868679,"AVD:510_650",0.000522400964868679,"DA_DB:580_650",0.000522400964868679,"[M5]? (ceh-45)"
"20.0","20.0","RIV:510_650",1.05778774615951e-22,"AVA:gt_650",1.61366614988312e-21,"AVG:510_650",1.61366614988312e-21,"AVK:gt_650",1.61366614988312e-21,"DA_DB:510_580",1.61366614988312e-21,"AVK:510_650",2.35706455511563e-20,"ALN, PLN"
"22.0","22.0","OLQ:510_650",7.45443382470441e-10,"CEP:510_650",0.0524850613063972,"IL1:510_650",0.201534284935939,"OLL:510_650",0.201534284935939,"AVE:510_650",0.694714003649603,"AWA:510_650",0.694714003649603,"OLQ"
"22.1","22.1","CEP:510_650",7.88386427627385e-15,"CEP:390_510",3.59339007805093e-07,"IL1:510_650",2.47377147909885e-06,"OLL:510_650",9.4677064417283e-05,"ADE:390_510",0.000522400964868679,"ADF:510_650",0.000522400964868679,"ADE, PDE?"
