,parent_cluster,cluster_id,cluster_lenght,occurence,method_list
0,0,"('RMD',)",1,2,"[(92, 1.1), (92, 1.6)]"
1,0,"('AS',)",1,2,"[(92, 1.3), (31, 3.0)]"
2,0,"('RIM',)",1,4,"[(92, 1.4), (92, 1.5), (92, 1.6), (92, 1.7)]"
3,0,"('ALM',)",1,4,"[(92, 1.5), (46, 2.2), (46, 2.3), (31, 2.5)]"
4,0,"('AVF',)",1,1,"[(92, 1.5)]"
5,0,"('VA',)",1,41,"[(92, 1.6), (92, 1.7), (92, 1.9), (92, 2.0), (46, 2.5), (31, 2.0), (31, 2.2), (31, 2.4), (31, 2.5), (31, 2.6), (31, 2.7), (31, 2.9), (23, 1.9), (23, 2.0), (23, 2.2), (23, 2.4), (15, 2.0), (15, 2.1), (15, 2.3), (15, 2.6), (15, 2.8), (15, 3.0), (13, 1.2), (13, 1.4), (13, 1.6), (13, 1.7), (13, 2.0), (13, 2.1), (13, 2.3), (13, 2.5), (13, 2.7), (12, 1.2), (12, 1.4), (12, 1.9), (12, 2.1), (12, 2.2), (12, 2.3), (12, 2.5), (12, 2.8), (10, 2.9), (9, 1.7)]"
6,0,"('VC',)",1,2,"[(92, 1.6), (46, 2.7)]"
7,0,"('VB',)",1,2,"[(92, 1.8), (46, 2.6)]"
8,0,"('SDQ',)",1,1,"[(92, 1.8)]"
9,0,"('DA',)",1,19,"[(92, 1.9), (92, 2.5), (92, 2.7), (46, 2.1), (46, 2.2), (46, 2.3), (46, 2.4), (46, 2.5), (46, 2.6), (46, 3.0), (31, 2.5), (23, 2.3), (23, 2.4), (18, 1.5), (18, 1.7), (18, 3.0), (15, 2.4), (15, 2.9), (15, 3.0)]"
10,0,"('CAN',)",1,1,"[(92, 1.9)]"
11,0,"('DB',)",1,2,"[(92, 2.2), (15, 2.8)]"
12,0,"('AVB',)",1,3,"[(46, 1.8), (46, 1.9), (46, 2.1)]"
13,0,"('RMH',)",1,1,"[(46, 1.9)]"
14,0,"('AIN',)",1,1,"[(46, 2.0)]"
15,0,"('AVM',)",1,5,"[(46, 2.5), (46, 2.6), (46, 2.7), (46, 2.8), (46, 2.9)]"
16,0,"('SAB',)",1,2,"[(46, 2.7), (46, 3.0)]"
17,0,"('LUAR',)",1,1,"[(46, 2.7)]"
18,0,"('AVG',)",1,1,"[(46, 2.8)]"
19,0,"('I6',)",1,1,"[(31, 2.7)]"
20,0,"('RIR',)",1,1,"[(31, 2.9)]"
21,0,"('I3',)",1,1,"[(12, 2.5)]"
22,0,"('DA', 'VA')",2,62,"[(92, 0.1), (92, 0.2), (92, 0.3), (92, 0.4), (92, 0.5), (92, 0.6), (92, 1.1), (46, 0.1), (46, 0.2), (46, 0.3), (46, 0.4), (46, 0.5), (46, 1.8), (46, 2.0), (46, 2.2), (46, 2.3), (31, 0.1), (31, 0.2), (31, 0.3), (31, 0.4), (31, 0.5), (23, 0.1), (23, 0.2), (18, 0.1), (18, 0.3), (15, 0.1), (15, 0.2), (15, 0.3), (15, 0.4), (13, 0.1), (13, 0.2), (13, 0.3), (13, 1.0), (13, 1.1), (13, 1.6), (13, 2.2), (13, 2.6), (13, 2.8), (13, 2.9), (13, 3.0), (12, 0.1), (12, 1.0), (12, 1.1), (12, 1.2), (12, 1.3), (12, 1.4), (12, 1.5), (12, 1.6), (12, 1.7), (12, 1.8), (12, 2.1), (10, 0.1), (10, 1.9), (10, 2.0), (10, 2.1), (10, 2.2), (10, 2.3), (10, 2.5), (10, 2.6), (10, 2.9), (9, 0.1), (8, 0.1)]"
23,0,"('VA', 'VB')",2,14,"[(92, 1.0), (92, 1.6), (92, 1.9), (92, 2.5), (46, 1.2), (46, 1.3), (46, 1.5), (46, 2.4), (46, 2.8), (31, 2.0), (31, 2.7), (31, 2.8), (31, 2.9), (23, 3.0)]"
24,0,"('DA', 'DB')",2,36,"[(92, 1.2), (92, 2.0), (92, 2.1), (92, 3.0), (46, 2.4), (46, 2.6), (46, 3.0), (31, 2.4), (31, 2.6), (31, 2.7), (31, 2.9), (31, 3.0), (23, 2.1), (18, 2.2), (18, 2.5), (18, 2.7), (18, 2.8), (15, 1.0), (15, 1.1), (15, 1.2), (15, 1.3), (15, 1.5), (15, 1.6), (15, 1.7), (15, 1.8), (13, 0.6), (12, 0.8), (12, 0.9), (12, 1.0), (12, 1.1), (12, 1.2), (12, 1.3), (12, 1.5), (12, 1.6), (12, 1.7), (12, 1.8)]"
25,0,"('OLQ', 'RMG')",2,1,"[(92, 1.8)]"
26,0,"('AVG', 'RIF')",2,2,"[(92, 2.4), (92, 2.6)]"
27,0,"('AVM', 'DD')",2,1,"[(92, 2.8)]"
28,0,"('DVA', 'PDB')",2,1,"[(92, 2.9)]"
29,0,"('I5', 'PVT')",2,1,"[(46, 1.9)]"
30,0,"('VA', 'VC')",2,1,"[(46, 2.0)]"
31,0,"('AIZ', 'AVF')",2,1,"[(31, 2.9)]"
32,0,"('SAB', 'VA')",2,13,"[(23, 2.5), (13, 1.4), (13, 1.5), (13, 1.7), (13, 1.8), (13, 2.0), (13, 2.1), (12, 1.8), (12, 2.0), (9, 1.7), (9, 1.8), (9, 1.9), (9, 2.0)]"
33,0,"('RIR', 'VA')",2,1,"[(23, 3.0)]"
34,0,"('PVPL', 'VC')",2,1,"[(23, 3.0)]"
35,0,"('AS', 'DA', 'DB')",3,5,"[(92, 1.3), (92, 1.4), (92, 1.5), (92, 1.6), (92, 2.5)]"
36,0,"('DA', 'VA', 'VB')",3,6,"[(92, 2.1), (92, 2.3), (92, 2.8), (10, 2.7), (10, 2.8), (8, 2.3)]"
37,0,"('DA', 'DB', 'VA')",3,11,"[(92, 2.1), (31, 2.8), (23, 1.7), (23, 1.8), (23, 1.9), (23, 2.1), (15, 2.8), (10, 1.3), (10, 1.4), (9, 0.7), (8, 0.5)]"
38,0,"('ADA', 'I6', 'RMG')",3,1,"[(92, 2.1)]"
39,0,"('AVG', 'I5', 'PVQ')",3,4,"[(92, 2.6), (92, 2.7), (92, 2.8), (92, 2.9)]"
40,0,"('DA', 'DB', 'SAB')",3,29,"[(46, 1.4), (46, 1.5), (46, 2.0), (46, 2.1), (46, 2.2), (46, 2.7), (31, 2.3), (31, 2.5), (18, 2.7), (18, 2.8), (18, 2.9), (18, 3.0), (15, 2.6), (15, 2.9), (15, 3.0), (10, 2.5), (10, 2.7), (10, 2.8), (10, 2.9), (10, 3.0), (9, 2.9), (9, 3.0), (8, 2.1), (8, 2.2), (8, 2.3), (8, 2.7), (8, 2.8), (8, 2.9), (8, 3.0)]"
41,0,"('AVB', 'RIF', 'VA')",3,1,"[(46, 1.9)]"
42,0,"('AIZ', 'RIG', 'SMD')",3,1,"[(46, 2.8)]"
43,0,"('AVB', 'VA', 'VB')",3,1,"[(31, 2.5)]"
44,0,"('DB', 'VA', 'VB')",3,1,"[(31, 2.6)]"
45,0,"('AIZ', 'AVF', 'SAB')",3,1,"[(31, 2.8)]"
46,0,"('AS', 'PDB', 'VA')",3,2,"[(31, 2.9), (31, 3.0)]"
47,0,"('AS', 'DA', 'VA')",3,1,"[(23, 1.7)]"
48,0,"('AIB', 'RIV', 'VD')",3,1,"[(23, 3.0)]"
