,parent_cluster,cluster_id,cluster_lenght,occurence,method_list
0,8.0,"('RIR',)",1,2,"[(92, 1.3), (92, 1.6)]"
1,8.0,"('RIS',)",1,1,"[(92, 1.3)]"
2,8.0,"('RID',)",1,1,"[(92, 1.3)]"
3,8.0,"('M5',)",1,1,"[(92, 1.3)]"
4,8.0,"('AVD',)",1,44,"[(46, 1.0), (46, 1.1), (46, 1.2), (46, 2.1), (31, 1.1), (31, 1.2), (31, 2.7), (31, 2.8), (31, 2.9), (23, 1.0), (23, 1.1), (23, 1.2), (23, 2.5), (18, 0.7), (18, 0.8), (18, 0.9), (18, 1.0), (18, 1.1), (18, 1.2), (15, 0.6), (15, 0.7), (15, 0.8), (15, 0.9), (15, 1.0), (15, 1.3), (13, 0.8), (13, 0.9), (13, 1.0), (13, 1.1), (12, 0.6), (12, 0.7), (12, 1.5), (10, 0.5), (10, 0.6), (10, 0.7), (10, 0.8), (10, 0.9), (10, 1.0), (10, 3.0), (9, 1.3), (9, 1.4), (9, 1.5), (9, 1.6), (8, 1.3)]"
5,8.0,"('AVE',)",1,3,"[(46, 1.5), (46, 1.6), (46, 1.7)]"
6,8.0,"('RMD',)",1,2,"[(46, 1.6), (46, 1.9)]"
7,8.0,"('SAB',)",1,1,"[(46, 2.3)]"
8,8.0,"('SMD',)",1,2,"[(46, 2.6), (46, 2.7)]"
9,8.0,"('LUAR',)",1,2,"[(31, 2.2), (13, 2.1)]"
10,8.0,"('RMG',)",1,6,"[(31, 2.5), (31, 2.6), (18, 2.4), (18, 2.9), (18, 3.0), (15, 2.8)]"
11,8.0,"('PVQ',)",1,4,"[(31, 2.7), (31, 2.8), (23, 2.1), (23, 2.2)]"
12,8.0,"('PVC',)",1,46,"[(23, 1.5), (23, 1.6), (23, 1.7), (23, 1.8), (23, 1.9), (23, 2.0), (23, 2.1), (23, 2.2), (23, 2.3), (18, 1.7), (18, 1.8), (18, 1.9), (18, 2.7), (18, 2.8), (18, 2.9), (18, 3.0), (15, 2.9), (15, 3.0), (13, 0.7), (13, 1.3), (13, 2.4), (12, 1.3), (12, 1.4), (12, 1.5), (12, 1.6), (12, 1.7), (12, 1.8), (12, 1.9), (12, 2.0), (10, 2.2), (10, 2.3), (10, 2.4), (10, 2.5), (10, 2.6), (10, 2.7), (9, 1.8), (9, 1.9), (9, 2.0), (9, 2.1), (9, 2.6), (9, 2.7), (9, 2.8), (9, 2.9), (9, 3.0), (8, 1.7), (8, 2.0)]"
13,8.0,"('AIB',)",1,4,"[(23, 2.1), (18, 2.4), (13, 1.9), (8, 1.8)]"
14,8.0,"('BDU',)",1,2,"[(23, 2.3), (18, 2.2)]"
15,8.0,"('AIM',)",1,3,"[(18, 2.1), (13, 2.9), (10, 2.9)]"
16,8.0,"('AVL',)",1,3,"[(18, 2.6), (18, 2.7), (18, 2.8)]"
17,8.0,"('DB',)",1,10,"[(18, 2.8), (9, 2.0), (9, 2.1), (9, 2.2), (9, 2.3), (9, 2.4), (9, 2.5), (9, 2.6), (9, 2.7), (9, 3.0)]"
18,8.0,"('RIM',)",1,2,"[(15, 2.7), (13, 3.0)]"
19,8.0,"('AIN',)",1,2,"[(15, 2.9), (15, 3.0)]"
20,8.0,"('NSML',)",1,5,"[(12, 2.0), (12, 2.1), (12, 2.3), (12, 2.4), (10, 2.1)]"
21,8.0,"('AVG', 'RIM')",2,2,"[(46, 1.6), (46, 1.7)]"
22,8.0,"('IL2', 'RMD')",2,2,"[(46, 1.7), (46, 1.8)]"
23,8.0,"('AIB', 'AVB')",2,1,"[(46, 1.8)]"
24,8.0,"('AIB', 'RMG')",2,1,"[(46, 2.2)]"
25,8.0,"('AIB', 'PVC')",2,9,"[(46, 2.2), (31, 1.3), (23, 1.4), (23, 1.5), (23, 1.7), (10, 2.6), (10, 2.7), (9, 2.8), (9, 2.9)]"
26,8.0,"('AVD', 'RMG')",2,5,"[(46, 2.2), (46, 2.3), (23, 2.8), (23, 2.9), (23, 3.0)]"
27,8.0,"('AVD', 'RIG')",2,2,"[(46, 2.4), (46, 2.5)]"
28,8.0,"('OLQ', 'SAB')",2,2,"[(31, 2.5), (31, 2.6)]"
