"","parent_cluster","dim","resol","subcluster","n_cells","cluster_id","n_ident","n_clusters"
"0","8.0",92,0.1,"0",149,"AVD, PVC, AVE, AIB, AVG, AVB, RMG, LUAR, AIN, AVA",10,1
"01","8.0",92,0.2,"0",149,"AVD, PVC, AVE, AIB, AVG, AVB, RMG, LUAR, AIN, AVA",10,1
"02","8.0",92,0.3,"0",149,"AVD, PVC, AVE, AIB, AVG, AVB, RMG, LUAR, AIN, AVA",10,1
"03","8.0",92,0.4,"0",149,"AVD, PVC, AVE, AIB, AVG, AVB, RMG, LUAR, AIN, AVA",10,1
"04","8.0",92,0.5,"0",149,"AVD, PVC, AVE, AIB, AVG, AVB, RMG, LUAR, AIN, AVA",10,1
"05","8.0",92,0.6,"0",149,"AVD, PVC, AVE, AIB, AVG, AVB, RMG, LUAR, AIN, AVA",10,1
"06","8.0",92,0.7,"0",149,"AVD, PVC, AVE, AIB, AVG, AVB, RMG, LUAR, AIN, AVA",10,1
"07","8.0",92,0.8,"0",149,"AVD, PVC, AVE, AIB, AVG, AVB, RMG, LUAR, AIN, AVA",10,1
"08","8.0",92,0.9,"0",149,"AVD, PVC, AVE, AIB, AVG, AVB, RMG, LUAR, AIN, AVA",10,1
"09","8.0",92,1,"0",59,"AVD, AVE, AIB, AVB, PVC, AVG, AVA, RMG, DA, AIN, LUAR, AIA, RID, RIG, M2, RMH, RIR, RMD, RIM, RIP, NSML, PLN, I4, AVJ, MCL, RIA, IL2, RIS, PHC, DVA, URY, PVQ, DB, I3, SMD, M1",36,3
"1","8.0",92,1,"1",49,"AVD, PVC, AVE, AIB, AVG, LUAR, AVB, DB, AVA, AIA, AIN, RIR, RMG, RMD, RID, URA, RIB, RMH, SAB, M1, RIG, SMD, RIM, RIC, M2, URY, DA, I1, RIA, RIF, RIV, MCL, NSML, PVW, PVQ, ADA, PDB, M4, PLN, BDU, AIY, URB, RIS, RIP, VC, AVJ, IL2, DVA, SAA, SDQ, AVL, AIZ, ALA, AIM, PVPL, MI, AVH, SIB, I3, I6, I5, M5, SMB, I4, PHC, CEPD, RME, AS, VB, AFD, DVB, M3, FLP, RIH, PVR, AVF, DVC",77,3
"2","8.0",92,1,"2",41,"AVE, AVD, PVC, AIB, AVG",5,3
"010","8.0",92,1.1,"0",19,"AVD, AIB, AVE, AVB, AVG, AVA, PVC",7,15
"15","8.0",92,1.1,"1",19,"PVC, AVD, AIB, AVE, AVG, MCL, AIA, RID, M1, AIN, PVW, RIB, LUAR, AVB, M4, I5, ADA, AVA, RIM, URA, M2, RMG, RIR, SMD, PLN, DB, RIF, RMD, AVL, RIG, RMH, DA, AIZ, RIC, PVQ, DVA, RIV, I1, RIP, RIA, FLP, IL2, VC, URB, URY, ALA, AIM, PDB, RIS, BDU, AIY, DVB, I4, SIB, SAA, I6, DVC, SMB, NSML, AVJ, PHC, I3, CEPD, MI, SAB, AVH, IL1, PVPL, M5, CAN, ADE, M3, AS, ASI, RME, AFD, VB, RIH, AVF, PVR, ASEL, AVK, VA, AUA, I2, AWC, PVT, PVM",88,15
"21","8.0",92,1.1,"2",16,"AVD, PVC, DB, AIB, AVE, URA, SAB, LUAR, AVB, AVG, M1, RIR, DA, RIA, AIN, RMH, M2, AVJ, NSML, AVA, RIG, RIV, AIY, RIM",24,15
"3","8.0",92,1.1,"3",15,"",0,15
"4","8.0",92,1.1,"4",14,"",0,15
"5","8.0",92,1.1,"5",13,"",0,15
"6","8.0",92,1.1,"6",11,"AVE, AIB, PVC, AVD, AVB, RIR, BDU, LUAR, RMD, PVR, PVQ, AVA, RIB, RMH, AIN, AVG, URY, ADE, RIG, AIA, RMG, PDB, AIM, RID, ALA, RIS, VC, I1, DB, URA, ADA, RIM, RIF, SAA, M2, PVPL, RIV, DVA, DA, RIC, NSML, RIA, M5, PVW, AFD, BAG, IL1, SAB, RME, PVM, URX, SDQ, M1, RIP, AIY, IL2, RIH, FLP, AVL, AWA, MI, SMD, PLN, I3, URB, PHC, DVB, AVF, SIB",69,15
"7","8.0",92,1.1,"7",11,"",0,15
"8","8.0",92,1.1,"8",6,"",0,15
"9","8.0",92,1.1,"9",6,"",0,15
"10","8.0",92,1.1,"10",5,"",0,15
"11","8.0",92,1.1,"11",4,"",0,15
"12","8.0",92,1.1,"12",4,"",0,15
