"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"madd-4",0,1.84060075529448,0.526,0.081,0,"0_2","madd-4"
"twk-30",7.32077255163721e-215,2.41713455226157,0.171,0.006,1.48399380394238e-210,"0_2","twk-30"
"twk-7",8.88031179335258e-214,2.30612046175577,0.251,0.021,1.8001280036305e-209,"0_2","twk-7"
"F08G5.3",6.38329703414909e-173,2.21755749442294,0.21,0.019,1.29395814179236e-168,"0_2","F08G5.3"
"glb-22",1.52631894890739e-170,2.02096208710075,0.152,0.007,3.09400114133017e-166,"0_2","glb-22"
"cle-1",2.10433093899214e-163,1.51401050852657,0.412,0.091,4.26568924643098e-159,"0_2","cle-1"
"Y119C1B.3",6.18242649051855e-162,1.91488980368615,0.114,0.002,1.25323967389302e-157,"0_2","Y119C1B.3"
"lgc-31",5.49421857982934e-161,2.1625261048391,0.242,0.03,1.1137330483172e-156,"0_2","lgc-31"
"twk-13",4.07840306341323e-157,2.010720412823,0.255,0.035,8.26733084984495e-153,"0_2","twk-13"
"K09E4.4",5.07992626652046e-129,1.89507246966652,0.119,0.006,1.02975185348636e-124,"0_2","K09E4.4"
"unc-62",8.68939773548331e-110,1.57394730130878,0.251,0.049,1.76142781495982e-105,"0_2","unc-62"
"nlp-9",1.92473564584671e-109,1.59613971439116,0.193,0.028,3.90163162769586e-105,"0_2","nlp-9"
"hecw-1",6.80467310604294e-108,1.98905769642815,0.149,0.016,1.37937528532596e-103,"0_2","hecw-1"
"tsp-7",3.50238648637252e-102,1.83888673391548,0.139,0.015,7.09968764652573e-98,"0_2","tsp-7"
"Y53F4B.12",7.85762416765307e-97,1.65420319302002,0.133,0.014,1.59281899502495e-92,"0_2","Y53F4B.12"
"twk-48",1.16906937775376e-92,1.66412413602413,0.145,0.018,2.36982053564465e-88,"0_2","twk-48"
"unc-80",4.96120702912614e-90,0.952536337169383,0.645,0.352,1.00568627687416e-85,"0_2","unc-80"
"K07C11.7",1.30262440137882e-84,1.62692901562674,0.263,0.069,2.64054992403501e-80,"0_2","K07C11.7"
"twk-29",6.67129026536899e-81,1.48426845722655,0.121,0.014,1.35233724969295e-76,"0_2","twk-29"
"zyx-1",2.89985977177456e-78,1.55780555996981,0.251,0.068,5.87830574336421e-74,"0_2","zyx-1"
"unc-77",1.36678269425344e-74,1.29827456781732,0.306,0.098,2.77060519952114e-70,"0_2","unc-77"
"K09F6.10",2.48692441149689e-74,1.66081642349444,0.2,0.045,5.04124447454534e-70,"0_2","K09F6.10"
"syg-2",6.81159708562859e-70,1.40263147940553,0.102,0.012,1.38077884522777e-65,"0_2","syg-2"
"nrx-1",1.76961209167465e-68,1.09588658521267,0.347,0.128,3.58718067103369e-64,"0_2","nrx-1"
"T13H5.1",2.25422087487431e-64,1.74286837329128,0.205,0.054,4.56953113545771e-60,"0_2","T13H5.1"
"rhgf-1",5.61717057266661e-64,1.41129039936088,0.18,0.042,1.13865664678525e-59,"0_2","rhgf-1"
"unc-52",8.79923360141864e-64,1.8340415511821,0.159,0.034,1.78369264334357e-59,"0_2","unc-52"
"gar-2",7.61585289343955e-63,0.985438340719609,0.282,0.091,1.54380954002913e-58,"0_2","gar-2"
"acc-4",1.23225273152085e-62,1.53103926267708,0.122,0.02,2.49789951206592e-58,"0_2","acc-4"
"hex-1",8.97542333671866e-61,1.36854323837851,0.108,0.016,1.81940806458624e-56,"0_2","hex-1"
"R10E11.5",4.67957826271543e-59,1.56886130179944,0.125,0.022,9.48597309635044e-55,"0_2","R10E11.5"
"nlp-21",5.68476150574446e-55,1.0000355001542,0.271,0.093,1.15235800482946e-50,"0_2","nlp-21"
"K09F6.9",8.51674717289163e-53,1.48799638177346,0.155,0.037,1.72642981941686e-48,"0_2","K09F6.9"
"unc-6",1.1940821819955e-51,1.36148879097912,0.118,0.022,2.42052399112307e-47,"0_2","unc-6"
"gopc-1",2.05831401002043e-51,1.28468518079006,0.167,0.043,4.17240832971242e-47,"0_2","gopc-1"
"rpl-4",4.24639428196157e-47,-0.832574906242253,0.252,0.529,8.60786584896429e-43,"0_2","rpl-4"
"cpx-1",2.53090421660598e-45,1.28971548073342,0.169,0.049,5.13039593748198e-41,"0_2","cpx-1"
"egl-21",1.93603498733437e-44,-1.16716491725607,0.161,0.403,3.92453652282549e-40,"0_2","egl-21"
"F09C3.2",1.29481498483015e-43,1.05488379420989,0.199,0.065,2.62471945574921e-39,"0_2","F09C3.2"
"akap-1",2.20481045613465e-41,-1.16592656384833,0.133,0.37,4.46937127563054e-37,"0_2","akap-1"
"cab-1",1.13383956775944e-38,-1.00992542423091,0.189,0.421,2.29840618780517e-34,"0_2","cab-1"
"unc-13",1.13605614871494e-37,0.805311347495012,0.46,0.281,2.30289941906006e-33,"0_2","unc-13"
"gbb-1",1.45519894144182e-36,1.18349529897975,0.141,0.042,2.94983377419671e-32,"0_2","gbb-1"
"R90.1",2.33313807289722e-36,1.17181207280886,0.188,0.068,4.72950418756996e-32,"0_2","R90.1"
"jnk-1",2.81073233174871e-36,1.14423116738837,0.15,0.046,5.69763550968781e-32,"0_2","jnk-1"
"clip-1",6.05751399740638e-36,0.955138417705223,0.29,0.137,1.22791866241425e-31,"0_2","clip-1"
"T28D6.5",9.02566845122667e-36,1.09150788239753,0.167,0.056,1.82959325174816e-31,"0_2","T28D6.5"
"rps-1",1.7067682532647e-35,-0.657136023128693,0.18,0.42,3.45978992619288e-31,"0_2","rps-1"
"rpl-13",6.69641957883896e-34,-0.82051594884366,0.108,0.322,1.35743121282645e-29,"0_2","rpl-13"
"pqn-52",8.99039918369248e-34,1.00598188760705,0.114,0.03,1.8224438185263e-29,"0_2","pqn-52"
"rps-3",3.01659914668228e-33,-0.700306985367001,0.134,0.354,6.11494813023964e-29,"0_2","rps-3"
"tag-68",3.01623556980662e-32,1.11772182506316,0.109,0.029,6.11421112355501e-28,"0_2","tag-68"
"twk-49",3.24067902875099e-32,0.956822377142875,0.137,0.042,6.56918045918112e-28,"0_2","twk-49"
"mig-15",7.22408398683285e-32,1.23228316668789,0.185,0.072,1.46439406497089e-27,"0_2","mig-15"
"C01C4.3",1.07770102639206e-31,1.20455773947475,0.156,0.054,2.18460775059935e-27,"0_2","C01C4.3"
"unc-75",8.06208898299127e-31,1.11744991306792,0.144,0.049,1.63426605774216e-26,"0_2","unc-75"
"unc-17",1.18662481677967e-30,1.0548145532595,0.156,0.054,2.40540716609407e-26,"0_2","unc-17"
"eef-1A.1",1.71253763798234e-30,-0.600316485247849,0.314,0.527,3.47148504595401e-26,"0_2","eef-1A.1"
"rps-2",6.0201841676923e-30,-0.931256898379426,0.112,0.304,1.22035153263291e-25,"0_2","rps-2"
"crt-1",7.34486570330036e-30,-1.24994032784684,0.14,0.333,1.48887772671602e-25,"0_2","crt-1"
"rps-4",1.07199216092457e-29,-0.648311416905684,0.147,0.355,2.17303530941021e-25,"0_2","rps-4"
"F43C9.2",1.13978343310612e-29,1.13201289288911,0.107,0.03,2.31045499724941e-25,"0_2","F43C9.2"
"unc-58",1.6118714667283e-29,1.28779723561204,0.121,0.037,3.26742465020493e-25,"0_2","unc-58"
"egl-3",3.50539081385729e-29,-0.917985419718546,0.213,0.4,7.10577771877011e-25,"0_2","egl-3"
"rpl-5",6.89705041598376e-29,-0.5954251721485,0.216,0.436,1.39810108982407e-24,"0_2","rpl-5"
"spsb-1",8.27491333874198e-29,1.11969420628926,0.227,0.106,1.67740768289639e-24,"0_2","spsb-1"
"unc-82",8.55604742444397e-29,1.29633249354405,0.139,0.048,1.73439637340904e-24,"0_2","unc-82"
"hsp-3",1.35244108009448e-28,-1.09195773167943,0.062,0.232,2.74153331345951e-24,"0_2","hsp-3"
"pck-1",1.39425686303916e-28,0.831887748886122,0.313,0.167,2.82629808706668e-24,"0_2","pck-1"
"rpl-15",1.5287195763656e-28,-0.781948004057967,0.128,0.323,3.0988674532507e-24,"0_2","rpl-15"
"rps-14",2.80017485890234e-28,-0.743392831514953,0.104,0.292,5.67623445648093e-24,"0_2","rps-14"
"twk-43",3.74604568581469e-28,0.875394208152982,0.129,0.042,7.59360920971496e-24,"0_2","twk-43"
"C06E7.2",6.55492328332076e-28,0.927071866125057,0.138,0.047,1.32874849876195e-23,"0_2","C06E7.2"
"ZC247.1",6.70353416084823e-28,-1.20000510847799,0.03,0.182,1.35887340974555e-23,"0_2","ZC247.1"
"pgal-1",6.7103361686324e-28,-1.00270866899254,0.152,0.331,1.36025224474347e-23,"0_2","pgal-1"
"F57B7.2",7.60752677631231e-28,1.18575156719218,0.102,0.029,1.54212175282627e-23,"0_2","F57B7.2"
"rpl-9",1.10067702301559e-27,-0.789030382679111,0.112,0.297,2.2311823933549e-23,"0_2","rpl-9"
"rla-1",1.25249491606681e-27,-0.681155650963054,0.12,0.309,2.53893244435902e-23,"0_2","rla-1"
"egl-10",1.52999592542441e-27,1.14332989203666,0.174,0.07,3.10145474042783e-23,"0_2","egl-10"
"rpl-18",5.91029481117355e-27,-0.563827260517934,0.207,0.419,1.19807586117299e-22,"0_2","rpl-18"
"unc-53",5.00657364364579e-26,1.122192833728,0.23,0.112,1.01488254330344e-21,"0_2","unc-53"
"rpl-16",7.08420441228923e-26,-0.580291068030006,0.128,0.313,1.43603907641515e-21,"0_2","rpl-16"
"vab-1",8.04361307891972e-26,0.99911517830318,0.167,0.067,1.63052080722782e-21,"0_2","vab-1"
"rps-11",1.20754389542821e-25,-0.699851000063319,0.109,0.29,2.44781223042253e-21,"0_2","rps-11"
"rpl-11.2",1.76122861847822e-25,-0.770968683065718,0.12,0.299,3.57018653251719e-21,"0_2","rpl-11.2"
"ubl-1",2.80768456195771e-25,-0.654830667139898,0.118,0.298,5.69145737554448e-21,"0_2","ubl-1"
"rpl-3",4.01072575299635e-25,-0.550192217176437,0.228,0.427,8.1301421738989e-21,"0_2","rpl-3"
"eef-2",6.016088243822e-25,-0.699215268650824,0.163,0.348,1.21952124790516e-20,"0_2","eef-2"
"tag-180",1.09736342835423e-24,1.03809320680681,0.158,0.064,2.22446540561687e-20,"0_2","tag-180"
"rack-1",2.1641903546293e-24,-0.607460211385741,0.145,0.333,4.38703026786904e-20,"0_2","rack-1"
