"","cluster","average_RNAcount","average_GENEcount"
"1","0_2",235.166666666667,148.07793764988
"2","1.0",142.724390243902,93.4585365853658
"3","1.1",176.4,118.7
"4","10.0.0",276.888888888889,164.888888888889
"5","10.0.1_4",187.830508474576,112.762711864407
"6","10.0.2_3",202.578947368421,120.280701754386
"7","10.0.5",148.111111111111,91.2222222222222
"8","10.1.0",277.181818181818,162.181818181818
"9","10.1.1",290.380952380952,165.333333333333
"10","10.2",299.794117647059,184.558823529412
"11","11.0_1_2",261.391959798995,162.613065326633
"12","11.3",274.068965517241,169.103448275862
"13","11.4",282.157894736842,166.684210526316
"14","12.0",274.395348837209,166.237209302326
"15","12.1",317.074074074074,174.518518518519
"16","13.0",309.430379746835,177.670886075949
"17","14.0",413.334801762115,189.176211453744
"18","16.0",462.311881188119,256.326732673267
"19","17.0",398.349112426036,240.520710059172
"20","17.1",400.861111111111,232.972222222222
"21","19.0",246.676923076923,152.069230769231
"22","19.1",245.72972972973,146.72972972973
"23","20.0",281.834355828221,168.852760736196
"24","22.0",215.567567567568,134.702702702703
"25","22.1",261.972222222222,158.444444444444
"26","22.2_3",263.333333333333,159.857142857143
"27","22.4",225.6875,137.375
"28","26.0",359.125,195.666666666667
"29","26.1",191.6,117.5
"30","26.2",219.40625,133.125
"31","27.0_3",287.823529411765,172.862745098039
"32","27.1",283.75,176.71875
"33","27.2",292.296296296296,184.518518518519
"34","28.0_2_3_4",257.543209876543,158.222222222222
"35","28.1",535.4,281.72
"36","29.0",268.195402298851,145.241379310345
"37","29.1",252.666666666667,139.111111111111
"38","3.0",167.450592885375,108.051383399209
"39","3.1",368.823529411765,219.470588235294
"40","30.0",277.078431372549,172.088235294118
"41","31.0",472.959595959596,274.848484848485
"42","33.0",352.077777777778,191.266666666667
"43","34.0",290.352941176471,169.105882352941
"44","35.0",266.217391304348,153.347826086957
"45","35.1",297.25641025641,155.923076923077
"46","36.0",278.461538461538,169.705128205128
"47","37.0",198.649122807018,122.526315789474
"48","37.1",493.454545454545,260.409090909091
"49","38.0",387.582278481013,234.20253164557
"50","39.0",285.472222222222,158.402777777778
"51","4.0",195.966019417476,117.572815533981
"52","4.1",469.704225352113,237.774647887324
"53","40.0",323.260869565217,190.550724637681
"54","41.0",335.217391304348,183.768115942029
"55","42.0",237.7,148.5
"56","42.1",207,136.148148148148
"57","43.0",266.358208955224,155.626865671642
"58","44.0",343.818181818182,178.939393939394
"59","45.0",248.779661016949,146.491525423729
"60","46.0",222.423728813559,143.745762711864
"61","48.0",303.842105263158,190.035087719298
"62","49.0",333.964912280702,198.684210526316
"63","5.0",267.671875,160.421875
"64","5.1",251.449541284404,151.743119266055
"65","50.0",263.509090909091,161.381818181818
"66","51.0",305.277777777778,171.75
"67","52.0",335.222222222222,196.703703703704
"68","53.0",237.354166666667,140.375
"69","54.0",253.31914893617,141.659574468085
"70","55.0",298.808510638298,174.531914893617
"71","56.0",355.744186046512,210.767441860465
"72","57.0",364.947368421053,205.947368421053
"73","59.0",337.583333333333,168.333333333333
"74","60.0",272.027027027027,154.189189189189
"75","61.0",274.611111111111,170.472222222222
"76","62.0",467.944444444444,220.138888888889
"77","63.0",279.028571428571,146.771428571429
"78","7.0",308.323308270677,183.582706766917
"79","8.0.0",182.485436893204,116.912621359223
"80","8.0.1",424.717391304348,251.239130434783
"81","8.1",300.337662337662,160.311688311688
"82","8.2",275.555555555556,165.888888888889
"83","8.3",313.8,185.066666666667
"84","NA",820.262443438914,330.68778280543
