"","doublets","total_cells"
"0.0",3,454
"1.0",0,410
"1.1",0,30
"10.0",0,170
"10.1",0,54
"10.2",0,34
"11.0_1_2",1,200
"11.3",1,30
"11.4",1,20
"12.0",1,216
"12.1",0,27
"13.0",2,239
"14.0",5,232
"16.0",17,219
"17.0",5,174
"17.1",1,37
"19.0",0,130
"19.1",0,37
"2.0",0,383
"20.0",1,164
"22.0",0,37
"22.1",0,36
"22.2_3",0,63
"22.4",0,16
"26.0",0,48
"26.1",0,40
"26.2",0,32
"27.0_3",0,51
"27.1",0,32
"27.2",0,27
"28.0",0,106
"29.0",0,87
"29.1",0,18
"3.0",1,373
"30.0",1,103
"31.0",1,100
"33.0",0,90
"34.0",0,85
"35.0",0,46
"35.1",0,39
"36.0",2,80
"37.0",0,57
"37.1",0,22
"38.0",0,79
"39.0",0,72
"4.0",0,348
"40.0",1,70
"41.0",0,69
"42.0",0,67
"43.0",0,67
"44.0",0,66
"45.0",0,59
"46.0",0,59
"48.0",0,57
"49.0",0,57
"5.0",1,193
"5.1",1,110
"50.0",1,56
"51.0",0,36
"52.0",0,54
"53.0",0,48
"54.0",0,47
"55.0",0,47
"56.0",1,44
"57.0",2,40
"59.0",1,37
"60.0",0,37
"61.0",1,37
"62.0",0,36
"63.0",0,35
"7.0",9,150
"7.1",0,125
"8.0",1,150
"8.1",1,78
"8.2",0,27
"8.3",0,15
"NA",211,1758
